(1, 1, 1, 0, 1, 0, 2, 2)    [[5, 32, 57], [23, 54, 55], [15, 19, 43], [11, 33, 47], [14, 54, 57], [15, 35, 43], [5, 37, 76]]
(0, 2, 1, 0, 1, 1, 1, 2)    [[8, 47, 57]]
(1, 0, 1, 2, 0, 1, 2, 1)    [[27, 49, 60], [36, 48, 72], [32, 42, 54], [47, 52, 57], [8, 29, 46], [14, 16, 21], [60, 70, 71], [9, 14, 42], [4, 35, 60]]
(1, 1, 1, 2, 0, 1, 0, 2)    [[4, 9, 37], [22, 27, 58], [33, 47, 70]]
(2, 2, 1, 1, 0, 1, 0, 1)    [[15, 19, 45], [6, 55, 69], [28, 30, 37], [1, 4, 8], [33, 37, 79], [28, 47, 49], [19, 33, 77], [6, 18, 21]]
(2, 1, 1, 1, 0, 2, 0, 1)    [[23, 57, 63], [20, 68, 78], [33, 37, 49], [9, 43, 49], [6, 59, 69], [40, 47, 76]]
(2, 2, 1, 0, 1, 1, 1, 0)    [[14, 24, 28], [19, 43, 45], [8, 43, 60]]
(2, 0, 1, 1, 1, 0, 2, 1)    [[47, 52, 70]]
(1, 1, 2, 1, 1, 0, 0, 2)    [[33, 47, 58]]
(1, 1, 1, 0, 2, 1, 0, 2)    [[2, 5, 52], [15, 40, 49], [42, 72, 77], [47, 72, 77], [5, 20, 29], [30, 47, 58], [15, 32, 64]]
(2, 1, 1, 1, 0, 0, 2, 1)    [[6, 49, 71], [36, 37, 54], [14, 37, 66], [19, 34, 66], [36, 37, 66], [47, 52, 63], [29, 52, 59]]
(2, 2, 1, 1, 1, 0, 0, 1)    [[47, 60, 61], [1, 36, 60], [2, 4, 6], [48, 62, 66], [5, 6, 58], [28, 34, 54]]
(1, 0, 1, 2, 0, 1, 1, 2)    [[23, 29, 49], [9, 59, 62], [2, 43, 69], [28, 52, 57], [7, 27, 64], [48, 64, 69]]
(2, 1, 1, 1, 0, 1, 0, 2)    [[38, 54, 55], [32, 54, 58], [16, 43, 49], [33, 47, 76], [15, 19, 33], [4, 34, 67], [15, 19, 20]]
(1, 2, 0, 1, 1, 1, 0, 2)    [[4, 15, 47], [19, 47, 76], [6, 42, 76], [5, 30, 52], [20, 22, 56], [5, 43, 58]]
